EffectiveDate,IncludedQuantity,MeterCategory,MeterId,MeterName,MeterRates_0,MeterRates_100,MeterRates_1000,MeterRates_1000000,MeterRates_1000000000,MeterRates_10235,MeterRates_1024,MeterRates_10240,MeterRates_10240.0,MeterRates_102400,MeterRates_1024000,MeterRates_1048576,MeterRates_1048576.0,MeterRates_1140,MeterRates_1500,MeterRates_153595,MeterRates_153600,MeterRates_153600.0,MeterRates_16500,MeterRates_1766500,MeterRates_1980000,MeterRates_20,MeterRates_20000,MeterRates_200000,MeterRates_20480,MeterRates_2487.5,MeterRates_25,MeterRates_250,MeterRates_25600,MeterRates_266500,MeterRates_2999900,MeterRates_499000,MeterRates_499900,MeterRates_5,MeterRates_5.0,MeterRates_500,MeterRates_51195,MeterRates_511995,MeterRates_5120,MeterRates_51200,MeterRates_51200.0,MeterRates_512000,MeterRates_512000.0,MeterRates_5120000,MeterRates_5242880,MeterRates_5242880.0,MeterRates_5999900,MeterRates_6500,MeterRates_66500,MeterRates_87.5,MeterRates_90,MeterRates_95,MeterRates_950000,MeterRates_99000,MeterRates_995,MeterRates_9950000,MeterRates_9980000,MeterRates_99900,MeterRates_9999900,MeterRegion,MeterSubCategory,MeterTags_0,Unit
2015-09-01T00:00:00Z,0,Networking,8a968a09-9805-4e74-9bc6-ab617cf292b0,Metered Data - 200 Mbps,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Zone 2,ExpressRoute,None,Connections
2015-10-01T00:00:00Z,0,Cloud Services,3e7fc27f-95cc-452f-a3f7-4d182019eefd,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US East,Standard_D1 Cloud Services,None,Hours
2015-03-01T00:00:00Z,0,Networking,d54686f0-77ff-43f3-9e7c-2099030d32a7,DNS Queries (1M),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,DNS,None,1M Queries
2014-12-01T00:00:00Z,0,Service Bus,62d94a65-9300-48a6-8c15-0e70fc41eb44,Throughput Units (Hours),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,Standard Event Hubs,None,Hours
2014-11-01T00:00:00Z,0,Business Analytics,e59e3380-bea3-4f6f-90ef-0846822dbf36,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,G3 HDInsight,None,Hours
2013-11-01T00:00:00Z,0,Virtual Machines,77a1a55d-2e77-418d-a313-ac8ba17a59bc,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US North Central,A1 VM (Windows),None,Hours
2015-12-01T00:00:00Z,0,Azure App Service,47e8ed49-fc56-41d8-a459-fbef14c92c84,Premium Small App Service Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,JA West,,None,Hours
2015-12-01T00:00:00Z,0,Azure App Service,db2ae25a-4469-4fa3-9c27-63ac21da6b30,Premium Small App Service Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,Hours
2014-11-01T00:00:00Z,0,Cache,d23b222d-e065-4aa9-8d5e-8c3990b4b0f7,Standard C0 (Hours),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,Azure Redis Cache,None,Hours
2014-10-01T00:00:00Z,0,Storage,0becd1d4-71e7-4395-a785-47ff2db3d6d4,Standard IO - Page Blob/Disk (GB),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU Southeast,Read-Access Geo Redundant,None,GB
2014-12-01T00:00:00Z,0,Virtual Machines,b35e4827-5326-45a4-a778-30ecc6de4394,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,A4 VM,None,Hours
2014-08-01T00:00:00Z,0,Virtual Machines,53ef88d2-4e29-4b8a-a574-16288e717fe3,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,BizTalk Server Standard,None,Hours
2014-10-01T00:00:00Z,0,Cloud Services,287a6e61-483a-41f0-81db-807561e8d11b,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU Southeast,A7 Cloud Services,None,Hours
2015-06-01T00:00:00Z,0,Virtual Machines,f42006e0-2f30-455a-961e-b675370c8be4,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EU West,Standard_G1 VM,None,Hours
2015-10-01T00:00:00Z,0,Virtual Machines,f1aa70d9-1880-43d3-8eef-a66921c5a0ec,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU Southeast,Standard_D14 VM (Windows),None,Hours
2014-08-01T00:00:00Z,0,Cloud Services,c7d94231-9fb9-4958-9ec1-b37b2849cd62,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,A6 Cloud Services,None,Hours
2015-11-01T00:00:00Z,0,CDN,df6c2e25-b152-446f-bbac-358f7f6efabf,Premium CDN Data Transfer - S1 (GB),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Zone 3,,None,GB
2016-02-01T00:00:00Z,0,Cloud Services,f4e6a4cc-2e80-452c-853c-71bf9b8a6d12,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EU West,Standard_D2_v2 Cloud Services,None,Hours
2016-02-01T00:00:00Z,0,Cloud Services,3389f896-417e-4b75-888f-c5717b16b243,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US Central,Standard_D13_v2 Cloud Services,None,Hours
2014-05-23T00:00:00Z,0,Storage,96c7a88b-71a2-4617-9824-9344fc9864d3,Standard IO - Table/ Queue (GB),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,BR South,Geo Redundant,None,GB
2016-02-01T00:00:00Z,0,Cloud Services,4fd98994-9320-40e6-9aed-303abf506bb7,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,JA East,Standard_D4_v2 Cloud Services,None,Hours
2014-04-01T00:00:00Z,0,Data Services,07501d86-23ee-4838-9a35-09e078fb151e,Premium P2 Database Days,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,BR South,SQL Database,None,Days
2014-01-01T00:00:00Z,0,Azure App Service,505db374-df8a-44df-9d8c-13c14b61dee1,Standard Small App Service Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,Hours
2015-10-01T00:00:00Z,0,Virtual Machines,13c3eaaa-d5bc-4ff1-8df4-3c5347fc3fb5,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,JA East,Standard_D14 VM (Windows),None,Hours
2014-10-01T00:00:00Z,0,Linux Support,c7c86eef-7094-47d5-83e7-c3c9be5af0bf,Standard VM Support Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,A10 OpenLogic,Third Party,Hours
2015-05-01T00:00:00Z,0,Networking,14cb6eff-4841-4256-9af5-ef93ed8fb334,Application Gateway Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US East 2,Basic Application Gateway (Small),None,Hours
2014-11-01T00:00:00Z,0,Storage,e813aceb-9876-4126-b9ff-16e0ea66ade4,Premium Storage - Files (GB),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EU North,Locally Redundant,None,GB
2015-09-01T00:00:00Z,0,Networking,9a6cb708-ad98-4a61-bdc7-16360e3b50ad,Unlimited Data - 1 Gbps,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Zone 3,ExpressRoute,None,Connections
2014-08-01T00:00:00Z,0,Networking,4e9518b1-3f80-4e8c-be0e-ff53c44a243b,Azure Endpoints,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,Traffic Manager,None,Azure Endpoints
2015-10-01T00:00:00Z,0,Cloud Services,24a55859-5294-4797-af80-820874aa6125,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,JA East,Standard_D1 Cloud Services,None,Hours
2015-09-01T00:00:00Z,0,Business Analytics,d8889acd-5998-4f29-9be7-d6d9236810e4,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,A5 HDInsight (Non-Windows),None,Hours
2014-11-01T00:00:00Z,0,RemoteApp,dd039d68-454e-408b-ad50-1917e96cf85e,Premium Overage Session Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,Named User,None,Hours
2015-09-01T00:00:00Z,0,Business Analytics,9ea2b61d-0bea-4416-a533-3741a833c2ed,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,A7 HDInsight (Non-Windows),None,Hours
2014-05-01T00:00:00Z,0,Virtual Machines,e40a96fa-4939-4857-a296-7118e0ca74dc,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US South Central,A7 VM,None,Hours
2013-12-01T00:00:00Z,0,Cloud Services,981293da-2827-4c3e-8b2d-d7718b6c7368,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US South Central,A7 Cloud Services,None,Hours
2015-10-01T00:00:00Z,0,Cloud Services,51aa477a-14ab-41f3-8721-1af6d5d9f1e6,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EU West,Standard_D4 Cloud Services,None,Hours
2016-02-01T00:00:00Z,0,Cloud Services,5039bfe7-5674-466e-bb68-fe08933c62d2,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,Standard_D4_v2 Cloud Services,None,Hours
2015-10-01T00:00:00Z,0,Cloud Services,420fa5a1-99a9-4d8d-87db-2d6663f96343,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,JA East,Standard_D4 Cloud Services,None,Hours
2015-07-01T00:00:00Z,0,Data Services,a22c3519-1734-4cb7-8e8c-60684ae5a1bc,Premium P4 Database Days,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU Southeast,SQL Database,None,Days
2014-02-11T00:00:00Z,0,Virtual Machines,a8999dbf-0a4f-4336-82db-72f644502475,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US Central,BASIC.A0 VM (Windows),None,Hours
2014-08-01T00:00:00Z,0,Virtual Machines,c4899873-0de9-4783-88f9-62968847f0e7,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,BASIC.A0 VM (Windows),None,Hours
2015-09-01T00:00:00Z,0,Business Analytics,7c536b60-a3b5-4f77-ae3c-4912e3e174e4,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AU East,D11 HDInsight (Non-Windows),None,Hours
2015-01-01T00:00:00Z,0,Virtual Machines,589e46fe-4583-49ac-a10f-81e12267a127,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US East 2,BASIC.A4 VM (Windows),None,Hours
2015-09-01T00:00:00Z,0,Business Analytics,5331cf2d-64e2-4b55-9275-96d5f2219bee,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,D12 HDInsight,None,Hours
2015-09-01T00:00:00Z,0,Networking,2aeb42d2-e5ac-460c-ba22-353e39e145e0,Unlimited Data - 10 Gbps,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Zone 3,ExpressRoute,None,Connections
2015-06-01T00:00:00Z,0,Storage,e380ec57-7763-4e0b-a8a6-18ec5ebbfe50,Premium Storage - Page Blob/P30 (Units),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AP Southeast,Locally Redundant,None,Units
2014-10-01T00:00:00Z,0,RemoteApp,14db424e-e05d-48a5-a2aa-2e39230c6fd4,Standard Users,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,Named User,None,Users
2015-05-01T00:00:00Z,0,Data Services,f6522325-5263-4a7f-a8c3-0c0d127da4dd,DWU,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AP East,SQL Data Warehouse,None,Hours
2014-11-01T00:00:00Z,0,Cache,c7107dc5-43b9-4d42-9ba8-161345a976a3,Basic C0 (Hours),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,Azure Redis Cache,None,Hours
2015-01-01T00:00:00Z,0,Virtual Machines,295de551-a288-4246-accf-713c452b97cf,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AP East,BASIC.A2 VM,None,Hours
2015-10-01T00:00:00Z,0,Cloud Services,83acc60c-599a-4df3-af7e-53a2c9af9073,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EU West,Standard_D11 Cloud Services,None,Hours
